playerID,Name,NumYears,debut,final,W,L,G,GS,CG,SHO,SV,H,ER,HR,BB,SO,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,IP,ERA,WPct,WHIP,H9,HR9,BB9,K9,SOW,P,ROY,MVP,CYA,GG_P,WAR,indYear,votedBy,inducted
aasedo01,Don Aase,13,1977,1990,66.0,60.0,448.0,91.0,22.0,5.0,82.0,1085.0,468.0,89.0,457.0,641.0,45.0,22.0,7.0,3.0,4730.0,235.0,503.0,50.0,34.0,106.0,1109.3333333333333,3.7968750000000004,0.5238095238095238,1.3900240384615385,8.802584134615385,0.7220552884615385,3.7076322115384617,5.200420673076923,1.4026258205689277,448,0.0,0.0,0.0,0.0,15.090000000000002,0.0,0,0.0
abbotgl01,Glenn Abbott,11,1973,1984,62.0,83.0,248.0,206.0,37.0,5.0,0.0,1405.0,627.0,162.0,352.0,484.0,28.0,18.0,32.0,5.0,5508.0,13.0,707.0,60.0,39.0,111.0,1286.0,4.388024883359253,0.42758620689655175,1.3662519440124417,9.832814930015552,1.1337480559875583,2.463452566096423,3.3872472783825818,1.375,248,0.0,0.0,0.0,0.0,5.26,0.0,0,0.0
abbotji01,Jim Abbott,10,1989,1999,87.0,108.0,263.0,254.0,31.0,6.0,0.0,1779.0,791.0,154.0,620.0,888.0,30.0,53.0,32.0,11.0,7211.0,5.0,880.0,70.0,47.0,200.0,1674.0,4.252688172043011,0.4461538461538462,1.433094384707288,9.56451612903226,0.8279569892473118,3.333333333333333,4.774193548387097,1.4322580645161291,263,0.0,0.0,0.0,0.0,19.7,0.0,0,0.0
abbotpa01,Paul Abbott,11,1990,2004,43.0,37.0,162.0,112.0,1.0,0.0,0.0,682.0,394.0,101.0,393.0,496.0,17.0,37.0,21.0,0.0,3187.0,17.0,421.0,19.0,22.0,51.0,720.6666666666666,4.9204440333024975,0.5375,1.4916743755781685,8.517113783533766,1.2613320999074933,4.90795559666975,6.194264569842739,1.262086513994911,162,0.0,0.0,0.0,0.0,4.4799999999999995,0.0,0,0.0
abernte02,Ted Abernathy,14,1955,1972,63.0,69.0,681.0,34.0,7.0,2.0,148.0,1010.0,441.0,70.0,592.0,765.0,80.0,35.0,45.0,3.0,4963.0,416.0,513.0,82.0,42.0,120.0,1147.6666666666667,3.4583212314841703,0.4772727272727273,1.395875689805402,7.9204182399070575,0.5489398780133604,4.642462968341563,5.9991286668602966,1.2922297297297298,681,0.0,0.0,0.0,0.0,16.58,0.0,0,0.0
ackerji01,Jim Acker,10,1983,1992,33.0,49.0,467.0,32.0,0.0,0.0,30.0,918.0,399.0,82.0,329.0,482.0,40.0,31.0,32.0,2.0,3868.0,159.0,447.0,43.0,31.0,100.0,904.3333333333334,3.970880943604865,0.4024390243902439,1.3789163287873203,9.136011795060817,0.8160707703649096,3.274235164025064,4.796903796535201,1.465045592705167,467,0.0,0.0,0.0,0.0,5.470000000000001,0.0,0,0.0
adamsba01,Babe Adams,19,1906,1926,194.0,140.0,482.0,355.0,206.0,44.0,15.0,2841.0,917.0,68.0,430.0,1036.0,82.0,26.0,47.0,2.0,11947.0,89.0,1129.0,145.0,106.0,311.0,2995.3333333333335,2.7552860004451367,0.5808383233532934,1.0920320498553304,8.536278655686623,0.20431782773202758,1.292009793011351,3.112842198976185,2.4093023255813955,482,0.0,0.0,0.0,0.0,50.01,0.0,0,0.0
adamsmi03,Mike Adams,10,2004,2014,21.0,20.0,408.0,0.0,0.0,0.0,4.0,316.0,109.0,33.0,126.0,409.0,12.0,7.0,6.0,0.0,1653.0,60.0,122.0,13.0,6.0,19.0,407.3333333333333,2.4083469721767594,0.5121951219512195,1.0851063829787235,6.981996726677578,0.7291325695581016,2.783960720130933,9.036824877250409,3.246031746031746,408,0.0,0.0,0.0,0.0,10.100000000000001,0.0,0,0.0
adamste01,Terry Adams,11,1995,2005,51.0,62.0,574.0,41.0,0.0,0.0,42.0,890.0,403.0,63.0,380.0,691.0,33.0,54.0,17.0,6.0,3801.0,201.0,448.0,38.0,20.0,98.0,869.3333333333334,4.172162576687116,0.45132743362831856,1.4608895705521472,9.213957055214724,0.6522239263803681,3.934049079754601,7.1537576687116555,1.818421052631579,574,0.0,0.0,0.0,0.0,4.45,0.0,0,0.0
agostju01,Juan Agosto,13,1981,1993,40.0,33.0,543.0,2.0,0.0,0.0,29.0,639.0,279.0,30.0,248.0,307.0,47.0,21.0,30.0,7.0,2713.0,198.0,313.0,55.0,28.0,79.0,626.3333333333334,4.0090473656200105,0.547945205479452,1.4161788185204895,9.182011708355509,0.43108036189462473,3.563597658328898,4.41138903672166,1.2379032258064515,543,0.0,0.0,0.0,0.0,1.3000000000000003,0.0,0,0.0
