playerID,Name,NumYears,debut,final,G,AB,R,H,Doubles,Triples,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,PA,TB,Avg,OBP,Slg,OPS,SBA,SB_Pct,P,C,1B,2B,3B,SS,OF,LF,CF,RF,PrimPos,ROY,MVP,TC,GG_C,GG_1B,GG_2B,GG_3B,GG_SS,GG_LF,GG_CF,GG_RF,GG_OF,GG_All_OF,GG_Total,WAR,indYear,votedBy,inducted
alexama02,Manny Alexander,11,1992,2006,594.0,1271.0,166.0,293.0,50.0,12.0,15.0,115.0,37.0,10.0,86.0,276.0,7.0,7.0,19.0,4.0,17.0,1387.0,412.0,0.23052714398111723,0.2821637426900585,0.3241542092840283,0.6063179519740869,47.0,0.7872340425531915,1,0,1,190,131,205,6,4,0,2,SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2800000000000002,0.0,0,0.0
bellda01,David Bell,12,1995,2006,1403.0,4826.0,587.0,1239.0,267.0,18.0,123.0,589.0,19.0,20.0,428.0,687.0,25.0,44.0,32.0,50.0,123.0,5380.0,1911.0,0.2567343555739743,0.3199326851159312,0.39598010774968917,0.7159127928656204,39.0,0.48717948717948717,0,0,16,413,986,20,1,1,0,0,3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.239999999999998,0.0,0,0.0
bondsba01,Barry Bonds,22,1986,2007,2986.0,9847.0,2227.0,2935.0,601.0,77.0,762.0,1996.0,514.0,141.0,2558.0,1539.0,688.0,106.0,4.0,91.0,165.0,12606.0,5976.0,0.29806032294099727,0.44429455641961596,0.6068853457905962,1.0511799022102122,655.0,0.7847328244274809,0,0,0,0,0,0,2874,2715,171,1,OF,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,162.75999999999996,0.0,0,0.0
camermi01,Mike Cameron,17,1995,2011,1955.0,6839.0,1064.0,1700.0,383.0,59.0,278.0,968.0,297.0,83.0,867.0,1901.0,19.0,87.0,31.0,60.0,114.0,7884.0,3035.0,0.24857435297558123,0.3379600152807844,0.44377833016522883,0.7817383454460132,380.0,0.781578947368421,0,0,0,0,0,0,1921,6,1787,164,OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,46.68000000000001,0.0,0,0.0
cansejo01,Jose Canseco,17,1985,2001,1887.0,7057.0,1186.0,1877.0,340.0,14.0,462.0,1407.0,200.0,88.0,906.0,1942.0,63.0,84.0,1.0,81.0,178.0,8129.0,3631.0,0.265977044069718,0.35273129921259844,0.5145245855179255,0.8672558847305238,288.0,0.6944444444444444,1,0,0,0,0,0,1011,356,1,679,OF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.519999999999996,0.0,0,0.0
carrema01,Mark Carreon,10,1987,1996,738.0,2012.0,246.0,557.0,108.0,5.0,69.0,289.0,12.0,11.0,140.0,246.0,9.0,19.0,2.0,17.0,53.0,2190.0,882.0,0.2768389662027833,0.3272394881170018,0.4383697813121272,0.765609269429129,23.0,0.5217391304347826,0,0,191,0,0,0,374,175,68,151,OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62,0.0,0,0.0
custja01,Jack Cust,10,2001,2011,670.0,2107.0,311.0,510.0,96.0,2.0,105.0,323.0,6.0,6.0,444.0,819.0,12.0,12.0,0.0,18.0,32.0,2581.0,925.0,0.24205030849549122,0.3742735373886091,0.4390128144280968,0.8132863518167059,12.0,0.5,0,0,0,0,0,0,231,126,0,107,OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.360000000000001,0.0,0,0.0
dykstle01,Lenny Dykstra,12,1985,1996,1278.0,4559.0,802.0,1298.0,281.0,43.0,81.0,404.0,285.0,72.0,640.0,503.0,50.0,31.0,25.0,27.0,39.0,5282.0,1908.0,0.28471155955253347,0.3745482214190603,0.4185128317613512,0.7930610531804114,357.0,0.7983193277310925,0,0,0,0,0,0,1221,10,1211,0,OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.449999999999996,0.0,0,0.0
giambja01,Jason Giambi,20,1995,2014,2260.0,7267.0,1227.0,2010.0,405.0,9.0,440.0,1441.0,20.0,12.0,1366.0,1572.0,97.0,180.0,2.0,93.0,166.0,8908.0,3753.0,0.2765928168432641,0.39928138333707613,0.5164441998073482,0.9157255831444244,32.0,0.625,0,0,1307,0,70,0,113,112,0,1,1B,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.5,0.0,0,0.0
glaustr01,Troy Glaus,13,1998,2010,1537.0,5410.0,889.0,1375.0,293.0,10.0,320.0,950.0,56.0,29.0,854.0,1377.0,40.0,46.0,0.0,45.0,138.0,6355.0,2648.0,0.2541589648798521,0.35798583792289534,0.48946395563770795,0.8474497935606033,85.0,0.6588235294117647,0,0,120,0,1337,18,0,0,0,0,3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.059999999999995,0.0,0,0.0
