playerID,Name,bats,throws,debut,final,NumYears
aaronha01,Hank Aaron,R,R,1954,1976,23
aasedo01,Don Aase,R,R,1977,1990,13
abbotgl01,Glenn Abbott,R,R,1973,1984,11
abbotji01,Jim Abbott,L,L,1989,1999,10
abbotpa01,Paul Abbott,R,R,1990,2004,11
abernte02,Ted Abernathy,R,R,1955,1972,14
abreubo01,Bobby Abreu,L,R,1996,2014,18
ackerji01,Jim Acker,R,R,1983,1992,10
adairje01,Jerry Adair,R,R,1958,1970,13
adamsba01,Babe Adams,L,R,1906,1926,19
adamsbo03,Bobby Adams,R,R,1946,1959,14
adamsmi03,Mike Adams,R,R,2004,2014,10
adamssp01,Sparky Adams,R,R,1922,1934,13
adamste01,Terry Adams,R,R,1995,2005,11
adcocjo01,Joe Adcock,R,R,1950,1966,17
affelje01,Jeremy Affeldt,L,L,2002,2015,14
ageeto01,Tommie Agee,R,R,1962,1973,12
agostju01,Juan Agosto,L,L,1981,1993,13
aguaylu01,Luis Aguayo,R,R,1980,1989,10
aguilri01,Rick Aguilera,R,R,1985,2000,16
aguirha01,Hank Aguirre,R,L,1955,1970,16
ainsmed01,Eddie Ainsmith,R,R,1910,1924,15
akerja01,Jack Aker,R,R,1964,1974,11
alberma01,Matt Albers,L,R,2006,2019,14
aldremi01,Mike Aldrete,L,L,1986,1996,10
alexado01,Doyle Alexander,R,R,1971,1989,19
alexama02,Manny Alexander,R,R,1992,2006,11
alexape01,Pete Alexander,R,R,1911,1930,20
alfonan01,Antonio Alfonseca,R,R,1997,2007,11
alfoned01,Edgardo Alfonzo,R,R,1995,2006,12
alicelu01,Luis Alicea,B,R,1988,2002,13
allenbe01,Bernie Allen,L,R,1962,1973,12
allendi01,Dick Allen,R,R,1963,1977,15
allenet01,Ethan Allen,R,R,1926,1938,13
allenjo02,Johnny Allen,R,R,1932,1944,13
allenne01,Neil Allen,R,R,1979,1989,11
alleyge01,Gene Alley,R,R,1963,1973,11
allisbo01,Bob Allison,R,R,1958,1970,13
allisdo01,Doug Allison,R,R,1871,1883,10
almonbi01,Bill Almon,R,R,1974,1988,15
alomaro01,Roberto Alomar,B,R,1988,2004,17
alomasa01,Sandy Alomar,B,R,1964,1978,15
alomasa02,Sandy Alomar,R,R,1988,2007,20
alonsyo01,Yonder Alonso,L,R,2010,2019,10
aloufe01,Felipe Alou,R,R,1958,1974,17
alouje01,Jesus Alou,R,R,1963,1979,15
alouma01,Matty Alou,L,L,1960,1974,15
aloumo01,Moises Alou,R,R,1990,2008,17
altroni01,Nick Altrock,B,L,1898,1933,19
altuvjo01,Jose Altuve,R,R,2011,2020,10
alvarwi01,Wilson Alvarez,L,L,1989,2005,14
amalfjo01,Joey Amalfitano,R,R,1954,1967,10
amarari01,Rich Amaral,R,R,1991,2000,10
amaroru01,Ruben Amaro,R,R,1958,1969,11
amesre01,Red Ames,B,R,1903,1919,17
anderbr01,Brady Anderson,L,L,1988,2002,15
anderbr02,Brian Anderson,B,L,1993,2005,13
anderbr04,Brett Anderson,L,L,2009,2020,12
anderda02,Dave Anderson,R,R,1983,1992,10
anderga01,Garret Anderson,L,L,1994,2010,17
anderjo01,John Anderson,B,R,1894,1908,14
anderla02,Larry Andersen,R,R,1975,1994,17
anderma02,Marlon Anderson,L,R,1998,2009,12
andinro01,Robert Andino,R,R,2005,2016,10
andruel01,Elvis Andrus,R,R,2009,2020,12
andujjo01,Joaquin Andujar,B,R,1976,1988,13
ankieri01,Rick Ankiel,L,L,1999,2013,11
ansonca01,Cap Anson,R,R,1871,1897,27
antonjo02,Johnny Antonelli,L,L,1948,1961,12
aparilu01,Luis Aparicio,R,R,1956,1973,18
appieke01,Kevin Appier,R,R,1989,2004,16
applepe01,Pete Appleton,R,R,1927,1945,14
applilu01,Luke Appling,R,R,1930,1950,20
archeji01,Jimmy Archer,R,R,1904,1918,12
ariasal01,Alex Arias,R,R,1992,2002,11
armasto01,Tony Armas,R,R,1976,1989,14
armasto02,Tony Armas,R,R,1999,2008,10
arrieja01,Jake Arrieta,R,R,2010,2020,11
arrigge01,Gerry Arrigo,L,L,1961,1970,10
arroybr01,Bronson Arroyo,R,R,2000,2017,16
ashburi01,Richie Ashburn,L,R,1948,1962,15
ashbyal01,Alan Ashby,B,R,1973,1989,17
ashbyan01,Andy Ashby,R,R,1991,2004,14
asprobo01,Bob Aspromonte,R,R,1956,1971,13
assenpa01,Paul Assenmacher,L,L,1986,1999,14
astacpe01,Pedro Astacio,R,R,1992,2006,15
astrojo01,Joe Astroth,R,R,1945,1956,10
auerbri01,Rick Auerbach,R,R,1971,1981,11
augusje01,Jerry Augustine,L,L,1975,1984,10
aukerel01,Elden Auker,R,R,1933,1942,10
aurilri01,Rich Aurilia,R,R,1995,2009,15
ausmubr01,Brad Ausmus,R,R,1993,2010,18
austiji01,Jimmy Austin,B,R,1909,1929,18
averiea01,Earl Averill,L,R,1929,1941,13
averyst01,Steve Avery,L,L,1990,2003,11
avilaal01,Alex Avila,L,R,2009,2020,12
avilabo01,Bobby Avila,R,R,1949,1959,11
avilemi01,Mike Aviles,R,R,2008,2017,10
axforjo01,John Axford,R,R,2009,2018,10
ayalabe01,Benny Ayala,R,R,1974,1985,10
aybarer01,Erick Aybar,B,R,2006,2017,12
azcuejo01,Joe Azcue,R,R,1960,1972,11
backmwa01,Wally Backman,B,R,1980,1993,14
baergca01,Carlos Baerga,B,R,1990,2005,14
baezda01,Danys Baez,R,R,2001,2011,10
bagbyji02,Jim Bagby,R,R,1938,1947,10
bagweje01,Jeff Bagwell,R,R,1991,2005,15
bahnsst01,Stan Bahnsen,R,R,1966,1982,16
bailebi01,Bill Bailey,L,L,1907,1922,11
bailebo01,Bob Bailey,R,R,1962,1978,17
baileed01,Ed Bailey,L,R,1953,1966,14
baileho02,Homer Bailey,R,R,2007,2020,14
bailobo01,Bob Bailor,R,R,1975,1985,11
baineha01,Harold Baines,L,L,1980,2001,22
bairdo01,Doug Bair,R,R,1976,1990,15
bakerdu01,Dusty Baker,R,R,1968,1986,19
bakerfl01,Floyd Baker,L,R,1943,1955,13
bakerfr01,Home Run Baker,L,R,1908,1922,13
bakerje03,Jeff Baker,R,R,2005,2015,11
bakersc02,Scott Baker,R,R,2005,2015,10
bakopa01,Paul Bako,L,R,1998,2009,12
balbost01,Steve Balboni,R,R,1981,1993,11
baldwja01,James Baldwin,R,R,1995,2005,11
balfogr01,Grant Balfour,R,R,2001,2015,12
bancrda01,Dave Bancroft,B,R,1915,1930,16
bandosa01,Sal Bando,R,R,1966,1981,16
bankhsc01,Scott Bankhead,R,R,1986,1995,10
bankser01,Ernie Banks,R,R,1953,1971,19
bannial01,Alan Bannister,R,R,1974,1985,12
bannifl01,Floyd Bannister,L,L,1977,1992,15
barajro01,Rod Barajas,R,R,1999,2012,14
barbest01,Steve Barber,L,L,1960,1974,15
bardjo01,Josh Bard,B,R,2002,2011,10
barfije01,Jesse Barfield,R,R,1981,1992,12
barkele01,Len Barker,R,R,1976,1987,11
barmecl01,Clint Barmes,R,R,2003,2015,13
barneje01,Jesse Barnes,L,R,1915,1927,13
barreji01,Jimmy Barrett,L,R,1899,1908,10
barrema02,Marty Barrett,R,R,1982,1991,10
barremi01,Michael Barrett,R,R,1998,2009,12
barrere01,Red Barrett,R,R,1937,1949,11
barrji01,Jim Barr,R,R,1971,1983,12
barryja01,Jack Barry,R,R,1908,1919,11
barrysh01,Shad Barry,R,R,1899,1908,10
bartedi01,Dick Bartell,R,R,1927,1946,18
bartlja01,Jason Bartlett,R,R,2004,2014,10
bartobo01,Bob Barton,R,R,1965,1974,10
basske01,Kevin Bass,B,R,1982,1995,14
batemjo01,John Bateman,R,R,1963,1972,10
batismi01,Miguel Batista,R,R,1992,2012,18
batisto01,Tony Batista,R,R,1996,2007,11
batteea01,Earl Battey,R,R,1955,1967,13
battijo01,Joe Battin,R,R,1871,1890,10
battsma01,Matt Batts,R,R,1947,1956,10
bauerha01,Hank Bauer,R,R,1948,1961,14
baumafr01,Frank Baumann,L,L,1955,1965,11
baumhfr01,Frank Baumholtz,L,L,1947,1957,10
bautida01,Danny Bautista,R,R,1993,2004,12
bautijo02,Jose Bautista,R,R,2004,2018,15
bayja01,Jason Bay,R,R,2003,2013,11
baylodo01,Don Baylor,R,R,1970,1988,19
beaucji01,Jim Beauchamp,R,R,1963,1973,10
beaumgi01,Ginger Beaumont,L,R,1899,1910,12
beckbo01,Boom-Boom Beck,R,R,1924,1945,12
beckegl01,Glenn Beckert,R,R,1965,1975,11
beckejo02,Josh Beckett,R,R,2001,2014,14
beckhgo01,Gordon Beckham,R,R,2009,2019,11
becklja01,Jake Beckley,L,L,1888,1907,20
beckro01,Rod Beck,R,R,1991,2004,13
bedarer01,Erik Bedard,L,L,2002,2014,11
bedrost01,Steve Bedrosian,R,R,1981,1995,14
beimejo01,Joe Beimel,L,L,2001,2015,13
belanma01,Mark Belanger,R,R,1965,1982,18
belchti01,Tim Belcher,R,R,1987,2000,14
belinst01,Stan Belinda,R,R,1989,2000,12
belisma01,Matt Belisle,R,R,2003,2018,15
bellbu01,Buddy Bell,R,R,1972,1989,18
bellda01,David Bell,R,R,1995,2006,12
bellde01,Derek Bell,R,R,1991,2001,11
belleal01,Albert Belle,R,R,1989,2000,12
bellga01,Gary Bell,R,R,1958,1969,12
bellge02,George Bell,R,R,1981,1993,12
bellgu01,Gus Bell,L,R,1950,1964,15
bellhe01,Heath Bell,R,R,2004,2014,11
bellhma01,Mark Bellhorn,B,R,1997,2007,10
bellira01,Rafael Belliard,R,R,1982,1998,17
belliro01,Ronnie Belliard,R,R,1998,2010,13
bellja01,Jay Bell,R,R,1986,2003,18
beltbr01,Brandon Belt,L,L,2011,2020,10
beltrad01,Adrian Beltre,R,R,1998,2018,21
beltrca01,Carlos Beltran,B,R,1998,2017,20
benchjo01,Johnny Bench,R,R,1967,1983,17
bendech01,Chief Bender,R,R,1903,1925,16
benedbr01,Bruce Benedict,R,R,1978,1989,12
benesan01,Andy Benes,R,R,1989,2002,14
bengera01,Ray Benge,R,R,1925,1938,12
bengobe01,Benny Bengough,R,R,1923,1932,10
beniqju01,Juan Beniquez,R,R,1971,1988,17
benitar01,Armando Benitez,R,R,1994,2008,15
benjami01,Mike Benjamin,R,R,1989,2002,13
bennech01,Charlie Bennett,R,R,1878,1893,15
bennega01,Gary Bennett,R,R,1995,2008,13
benoijo01,Joaquin Benoit,R,R,2001,2017,16
bentoal01,Al Benton,R,R,1934,1952,14
bentola01,Larry Benton,R,R,1923,1935,13
bentoru01,Rube Benton,R,L,1910,1925,15
berarjo01,Johnny Berardino,R,R,1939,1952,11
